ControllerFile,HTTP Method,Path
AppointmentController.java,DELETE,/api/appointments
AppointmentController.java,GET,/api/appointments
AppointmentController.java,PATCH,/api/appointments/api/appointments
AppointmentController.java,POST,/api/appointments/api/appointments
AppointmentController.java,PUT,/api/appointments/api/appointments
AppointmentController.java,GET,/api/appointments/technician
AppointmentController.java,DELETE,/api/appointments/{appointmentId}
AppointmentController.java,PUT,/api/appointments/{appointmentId}/assignTechnician
AppointmentController.java,PUT,/api/appointments/{appointmentId}/check-in
AppointmentController.java,PUT,/api/appointments/{appointmentId}/confirmForCustomer
AppointmentController.java,GET,/api/appointments/{appointmentId}/suggestedTechnicians
CertificateController.java,DELETE,/api/certificates/api/certificates
CertificateController.java,GET,/api/certificates/api/certificates
CertificateController.java,PATCH,/api/certificates/api/certificates
CertificateController.java,POST,/api/certificates/api/certificates
CertificateController.java,PUT,/api/certificates/api/certificates
CertificateController.java,DELETE,/api/certificates/{id}
CertificateController.java,GET,/api/certificates/{id}
CertificateController.java,PUT,/api/certificates/{id}
CustomerPackageContractController.java,DELETE,/api/contracts/api/contracts
CustomerPackageContractController.java,GET,/api/contracts/api/contracts
CustomerPackageContractController.java,PATCH,/api/contracts/api/contracts
CustomerPackageContractController.java,POST,/api/contracts/api/contracts
CustomerPackageContractController.java,PUT,/api/contracts/api/contracts
CustomerPackageContractController.java,PUT,/api/contracts/{id}/cancel
ConversationController.java,DELETE,/api/conversations/api/conversations
ConversationController.java,GET,/api/conversations/api/conversations
ConversationController.java,PATCH,/api/conversations/api/conversations
ConversationController.java,POST,/api/conversations/api/conversations
ConversationController.java,PUT,/api/conversations/api/conversations
ConversationController.java,DELETE,/api/conversations/{id}
ConversationController.java,GET,/api/conversations/{id}
ConversationController.java,PUT,/api/conversations/{id}
InventoryController.java,DELETE,/api/inventories/api/inventories
InventoryController.java,GET,/api/inventories/api/inventories
InventoryController.java,PATCH,/api/inventories/api/inventories
InventoryController.java,POST,/api/inventories/api/inventories
InventoryController.java,PUT,/api/inventories/api/inventories
InvoiceController.java,DELETE,/api/invoices/api/invoices
InvoiceController.java,GET,/api/invoices/api/invoices
InvoiceController.java,PATCH,/api/invoices/api/invoices
InvoiceController.java,POST,/api/invoices/api/invoices
InvoiceController.java,PUT,/api/invoices/api/invoices
InvoiceController.java,PUT,/api/invoices/{invoiceId}/status
InvoiceController.java,GET,/api/invoices/{ticketId}
MessageController.java,DELETE,/api/messages/api/messages
MessageController.java,GET,/api/messages/api/messages
MessageController.java,PATCH,/api/messages/api/messages
MessageController.java,POST,/api/messages/api/messages
MessageController.java,PUT,/api/messages/api/messages
MessageController.java,GET,/api/messages/conversation/{conversationId}
MessageController.java,DELETE,/api/messages/{id}
MessageController.java,GET,/api/messages/{id}
MessageController.java,PUT,/api/messages/{id}
MyCertificatesController.java,DELETE,/api/my-certificates/api/my-certificates
MyCertificatesController.java,GET,/api/my-certificates/api/my-certificates
MyCertificatesController.java,PATCH,/api/my-certificates/api/my-certificates
MyCertificatesController.java,POST,/api/my-certificates/api/my-certificates
MyCertificatesController.java,PUT,/api/my-certificates/api/my-certificates
PartController.java,DELETE,/api/parts/api/parts
PartController.java,GET,/api/parts/api/parts
PartController.java,PATCH,/api/parts/api/parts
PartController.java,POST,/api/parts/api/parts
PartController.java,PUT,/api/parts/api/parts
PartController.java,DELETE,/api/parts/{partId}
PartController.java,GET,/api/parts/{partId}
PartController.java,PUT,/api/parts/{partId}
ServiceCenterController.java,DELETE,/api/service-centers/api/service-centers
ServiceCenterController.java,GET,/api/service-centers/api/service-centers
ServiceCenterController.java,PATCH,/api/service-centers/api/service-centers
ServiceCenterController.java,POST,/api/service-centers/api/service-centers
ServiceCenterController.java,PUT,/api/service-centers/api/service-centers
ServiceCenterController.java,DELETE,/api/service-centers/{id}
ServiceCenterController.java,GET,/api/service-centers/{id}
ServiceCenterController.java,PUT,/api/service-centers/{id}
ServiceItemController.java,DELETE,/api/service-items/api/service-items
ServiceItemController.java,GET,/api/service-items/api/service-items
ServiceItemController.java,PATCH,/api/service-items/api/service-items
ServiceItemController.java,POST,/api/service-items/api/service-items
ServiceItemController.java,PUT,/api/service-items/api/service-items
ServiceItemController.java,POST,/api/service-items/{itemId}/suggest-part
ServiceItemController.java,DELETE,/api/service-items/{itemId}/suggest-part/{partId}
ServiceItemController.java,PUT,/api/service-items/{itemid}
ServicePackageController.java,DELETE,/api/service-packages/api/service-packages
ServicePackageController.java,GET,/api/service-packages/api/service-packages
ServicePackageController.java,PATCH,/api/service-packages/api/service-packages
ServicePackageController.java,POST,/api/service-packages/api/service-packages
ServicePackageController.java,PUT,/api/service-packages/api/service-packages
ServicePackageController.java,DELETE,/api/service-packages/{id}
ServicePackageController.java,GET,/api/service-packages/{id}
ServicePackageController.java,PUT,/api/service-packages/{id}
ServiceTicketController.java,DELETE,/api/service-tickets/api/service-tickets
ServiceTicketController.java,GET,/api/service-tickets/api/service-tickets
ServiceTicketController.java,PATCH,/api/service-tickets/api/service-tickets
ServiceTicketController.java,POST,/api/service-tickets/api/service-tickets
ServiceTicketController.java,PUT,/api/service-tickets/api/service-tickets
ServiceTicketController.java,POST,/api/service-tickets/technician/{appointmentId}/create-service-ticket
ServiceTicketController.java,PUT,/api/service-tickets/technician/{ticketId}/complete
ServiceTicketController.java,PUT,/api/service-tickets/{ticketId}/parts
ServiceTicketController.java,POST,/api/service-tickets/{ticketId}/service-items
ServiceTicketController.java,DELETE,/api/service-tickets/{ticketId}/service-items/{itemId}
UserController.java,DELETE,/api/users/api/users
UserController.java,GET,/api/users/api/users
UserController.java,PATCH,/api/users/api/users
UserController.java,POST,/api/users/api/users
UserController.java,PUT,/api/users/api/users
UserController.java,POST,/api/users/createStaff
UserController.java,POST,/api/users/createTechnician
UserController.java,GET,/api/users/role/{role:[a-zA-Z]+}
UserController.java,GET,/api/users/{id:\\d+}
UserController.java,DELETE,/api/users/{id}
UserController.java,PUT,/api/users/{id}
VehicleController.java,DELETE,/api/vehicles/api/vehicles
VehicleController.java,GET,/api/vehicles/api/vehicles
VehicleController.java,PATCH,/api/vehicles/api/vehicles
VehicleController.java,POST,/api/vehicles/api/vehicles
VehicleController.java,PUT,/api/vehicles/api/vehicles
VehicleController.java,DELETE,/api/vehicles/{id}
VehicleController.java,GET,/api/vehicles/{id}
VehicleController.java,PUT,/api/vehicles/{id}
AuthController.java,DELETE,/auth/auth
AuthController.java,GET,/auth/auth
AuthController.java,PATCH,/auth/auth
AuthController.java,POST,/auth/auth
AuthController.java,PUT,/auth/auth
AuthController.java,POST,/auth/refresh
AuthController.java,POST,/auth/register
NotificationController.java,DELETE,/notification/notification
NotificationController.java,GET,/notification/notification
NotificationController.java,PATCH,/notification/notification
NotificationController.java,POST,/notification/notification
NotificationController.java,PUT,/notification/notification
NotificationController.java,DELETE,/notification/{id}
NotificationController.java,GET,/notification/{id}
NotificationController.java,PUT,/notification/{id}/read
TicketServiceItemController.java,DELETE,/ticket-service-items/ticket-service-items
TicketServiceItemController.java,GET,/ticket-service-items/ticket-service-items
TicketServiceItemController.java,PATCH,/ticket-service-items/ticket-service-items
TicketServiceItemController.java,POST,/ticket-service-items/ticket-service-items
TicketServiceItemController.java,PUT,/ticket-service-items/ticket-service-items
TicketServiceItemController.java,DELETE,/ticket-service-items/{ticketId}/{itemId}
TicketServiceItemController.java,GET,/ticket-service-items/{ticketId}/{itemId}
